country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Dominican Republic,3540,3610,4020,4270,4420,4680,4990,5440,5760,6080,6420,6620,6930,6710,6860,7860,8780,9540,10.1k,10.1k,10.9k,11.3k,11.3k,11.8k,12.7k,14k,15.2k,15.7k,17.1k,18.1k,16.9k,19.5k,21.9k
Algeria,6720,6570,6760,6690,6590,6770,7040,7180,7550,7750,8090,8580,8990,9710,10.2k,10.9k,11.4k,12.2k,12.6k,12.6k,13.1k,13.4k,13.2k,12.8k,12.8k,11.8k,11.6k,11.6k,11.7k,11.8k,11.2k,11.9k,12.9k
Ecuador,4350,4650,4830,4980,5220,5370,5440,5700,5820,5380,5470,5820,6080,6250,6790,7300,7760,8000,8670,8650,8980,9710,10.2k,11k,11.5k,10.9k,10.9k,11.4k,11.6k,11.5k,10.6k,11.6k,12.6k
Egypt,3550,3740,3900,4010,4160,4360,4560,4790,5030,5270,5610,5850,5900,6070,6350,6700,7300,7900,8460,8670,8850,8940,10.3k,10.3k,10.1k,10.7k,10.4k,10.8k,11.4k,11.9k,12.3k,13.1k,14.6k
Eritrea,,,960,1080,1290,1300,1350,1470,1510,1510,1460,1580,1590,1510,1500,1560,1570,1610,1440,1460,1480,1610,,,,,,,,,,,
Spain,13.5k,14.3k,14.7k,14.9k,15.3k,16.1k,16.7k,17.7k,18.9k,19.8k,21.4k,22.6k,24.1k,24.8k,25.9k,27.2k,30.1k,31.7k,32.3k,31.5k,31.2k,31.3k,31.5k,32.2k,33.4k,34.9k,37.4k,39.6k,40.8k,43.2k,38.1k,41.5k,46.5k
Estonia,,,,,,,,,,,9070,9810,11.1k,12.4k,13.7k,15.9k,18.3k,20.5k,21.6k,19.9k,20.5k,23.3k,24.9k,26.8k,28.1k,28.5k,30.6k,33k,35.6k,38.5k,38.9k,42.4k,45.2k
Ethiopia,410,380,340,380,390,410,450,460,430,450,470,510,510,490,560,630,700,780,860,910,1010,1110,1190,1260,1480,1620,1840,1980,2110,2260,2370,2550,2800
Finland,17.8k,17.1k,16.6k,16.7k,17.8k,19k,19.6k,21.5k,23.1k,24.5k,26.6k,27.8k,28.7k,28.9k,31.4k,32.2k,34.8k,38k,40.1k,38.4k,39.5k,41.1k,41.1k,41.7k,42.2k,42.9k,45.1k,47.6k,49.8k,52.1k,53.2k,55.6k,60k
Fiji,3780,3810,4100,4270,4510,4850,5180,5080,5060,5520,5790,5810,6130,6200,6640,6930,6830,7020,7160,7220,7280,7610,8080,8860,10.2k,11k,11.3k,11.8k,12.8k,12.7k,10.8k,10.8k,13.8k
